,id,outage,left,top,right,bottom,HISTO_0,HISTO_1,HISTO_5,HISTO_6,HISTO_8,HISTO_10,HISTO_14,HISTO_15,HISTO_16,HISTO_17,HISTO_18,HISTO_NODATA
13397,55734,29.223972600537344,2106340,-128250,2106840,-128750,0.0,0.0,37.37024221453287,0.0,0.0,2.422145328719723,0.0,5.536332179930796,0.0,54.67128027681662,0.0,0.0
13398,92061,29.22394026365898,2140340,-101750,2140840,-102250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
13399,32130,29.21109309289158,2084340,-96250,2084840,-96750,0.0,0.0,73.35640138408304,2.0761245674740483,0.0,0.0,3.8062283737024223,16.608996539792386,0.0,4.1522491349480966,0.0,0.0
13400,105612,29.203539823008857,2152840,-189750,2153340,-190250,0.0,1.7301038062283738,0.0,1.384083044982699,0.0,0.0,86.159169550173,0.0,0.0,10.726643598615917,0.0,0.0
13401,102036,29.197612234167124,2149340,-274250,2149840,-274750,0.0,0.0,39.0625,5.46875,0.0,0.0,51.953125,0.0,0.0,3.515625,0.0,0.0
13404,9195,29.166666666666668,2062840,-131250,2063340,-131750,0.0,0.0,5.88235294117647,0.0,0.0,0.0,14.53287197231834,63.32179930795848,0.0,16.26297577854671,0.0,0.0
13405,32719,29.166666666666668,2084840,-123250,2085340,-123750,0.0,0.0,15.441176470588236,9.191176470588236,0.0,0.0,0.0,58.82352941176471,0.0,16.544117647058822,0.0,0.0
13406,109994,29.166666666666668,2156840,-240750,2157340,-241250,0.0,67.27941176470588,4.044117647058823,18.38235294117647,0.0,0.0,0.0,0.0,0.0,10.294117647058822,0.0,0.0
13407,42292,29.166666666666668,2093840,-94750,2094340,-95250,0.0,0.0,51.10294117647059,1.8382352941176472,0.0,0.0,17.27941176470588,7.720588235294118,0.0,22.058823529411764,0.0,0.0
13408,83496,29.16087248876968,2132340,-99250,2132840,-99750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
13410,45575,29.14705894936569,2096840,-131250,2097340,-131750,0.0,0.0,2.5735294117647056,0.0,0.0,0.0,17.647058823529413,0.0,0.0,68.01470588235294,11.76470588235294,0.0
13411,85639,29.138931325543144,2134340,-100750,2134840,-101250,0.0,0.0,2.2058823529411766,0.0,0.0,0.0,20.22058823529412,0.0,0.0,77.57352941176471,0.0,0.0
13412,94782,29.12251049061952,2142840,-124750,2143340,-125250,0.0,0.0,0.0,0.0,0.0,0.0,92.73356401384083,0.0,0.0,7.26643598615917,0.0,0.0
13413,94974,29.11293620117452,2142840,-220750,2143340,-221250,0.0,73.70242214532871,1.0380622837370241,6.920415224913495,7.26643598615917,0.0,0.0,0.0,0.0,11.072664359861593,0.0,0.0
13414,89946,29.105732997681272,2138340,-114250,2138840,-114750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
13415,96152,29.057488236836875,2143840,-274750,2144340,-275250,0.0,0.0,5.536332179930796,10.034602076124568,0.0,0.0,81.66089965397923,0.0,0.0,2.768166089965398,0.0,0.0
13417,121187,29.032258064516135,2167340,-219750,2167840,-220250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.294117647058826,0.0,64.70588235294117
13418,49892,29.032258064516125,2100840,-149750,2101340,-150250,0.0,0.0,21.691176470588236,2.2058823529411766,0.0,0.0,1.1029411764705883,0.0,0.0,75.0,0.0,0.0
13419,108872,29.01838611630089,2155840,-214750,2156340,-215250,0.0,0.0,0.0,0.0,0.0,0.0,1.7301038062283738,0.0,0.0,93.07958477508652,5.190311418685121,0.0
13420,121143,29.017857142857135,2167340,-197750,2167840,-198250,0.0,0.0,0.78125,0.0,0.0,0.0,0.0,0.0,0.0,99.21875,0.0,0.0
13421,113093,29.01234567901234,2159840,-185250,2160340,-185750,0.0,0.0,0.0,6.25,2.2058823529411766,3.308823529411765,27.205882352941174,2.2058823529411766,22.426470588235293,36.39705882352941,0.0,0.0
13423,67489,29.00408534087771,2117340,-120750,2117840,-121250,0.0,0.0,5.190311418685121,0.0,0.0,0.0,72.31833910034602,0.0,0.0,22.491349480968857,0.0,0.0
13424,117346,28.985507246376812,2163840,-171750,2164340,-172250,0.0,0.0,2.422145328719723,0.0,0.0,0.0,0.6920415224913495,0.0,0.0,96.88581314878893,0.0,0.0
13425,100632,28.984069062185153,2148340,-107250,2148840,-107750,0.0,0.0,0.0,0.0,0.0,0.0,4.1522491349480966,2.768166089965398,0.0,93.07958477508652,0.0,0.0
13426,30573,28.983489796268064,2082840,-120250,2083340,-120750,0.0,0.0,45.32871972318339,21.10726643598616,7.612456747404845,0.0,3.1141868512110724,11.072664359861593,0.0,11.76470588235294,0.0,0.0
13427,115810,28.952772073921974,2162340,-206250,2162840,-206750,0.0,7.958477508650519,0.0,2.0761245674740483,0.0,0.0,22.837370242214533,0.0,0.0,67.1280276816609,0.0,0.0
