,HISTO_0,HISTO_1,HISTO_5,HISTO_6,HISTO_8,HISTO_10,HISTO_14,HISTO_15,HISTO_16,HISTO_17,HISTO_18,Vmax,nightlight_prev,outage,Rainfall
20146,0.3676470588235294,0.0,0.0,0.0,0.0,0.0,97.79411764705883,0.0,0.0,0.0,1.8382352941176472,49.75792233803913,0.46519518949593,86.73049624337304,84.39162
20147,0.0,0.0,0.0,0.0,0.0,0.0,85.12110726643598,0.0,0.0,0.0,14.878892733564014,49.754421092254354,0.407999656405929,50.98035087534117,84.39162
20148,0.0,0.0,0.0,0.0,0.0,0.0,84.08304498269896,0.0,0.0,0.0,15.916955017301039,49.750736385266976,0.6,66.66666666666666,84.39162
20149,0.0,0.0,0.0,0.0,0.0,0.0,98.16176470588235,0.0,0.0,0.0,1.8382352941176472,49.74686769416071,0.564619166703388,99.67134736413104,84.39162
20153,0.0,0.0,0.0,0.0,2.422145328719723,4.498269896193772,71.280276816609,0.0,3.8062283737024223,0.0,17.99307958477509,49.66608727178645,1.0,25.0,84.39162
20154,9.926470588235293,0.0,0.0,0.0,0.7352941176470588,1.8382352941176472,63.60294117647059,0.0,0.7352941176470588,0.3676470588235294,22.794117647058822,49.66110739638095,1.35,22.222222222222225,51.4441
20156,30.79584775086505,0.0,0.0,0.0,0.0,0.0,57.09342560553633,0.0,0.0,11.418685121107266,0.6920415224913495,49.65058726901295,2.26630110079441,19.789185348959265,51.4441
20157,14.338235294117647,0.0,0.0,0.0,0.0,0.0,74.26470588235294,0.0,0.0,0.0,11.397058823529411,49.6450464930962,0.75,86.66666666666667,51.4441
20158,0.0,0.0,0.0,0.0,0.0,0.0,81.66089965397923,0.0,0.0,0.0,18.33910034602076,49.63931826898708,2.2758722437769,76.18099978625698,51.4441
20159,11.418685121107266,0.0,0.0,0.0,0.0,0.0,79.58477508650519,0.0,0.0,0.0,8.996539792387544,49.63340240881867,5.55,32.46080409128667,51.4441
20161,40.830449826989614,0.0,0.0,0.0,0.0,0.0,1.384083044982699,0.0,0.0,57.785467128027676,0.0,49.62100720947328,14.65,24.20477624968737,51.4441
20162,21.453287197231834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.54671280276817,0.0,49.614527673715926,12.5916604529918,33.949270967524264,51.4441
20163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.05882352941177,2.941176470588235,49.607860075150114,19.5880649330819,42.40969138992218,51.4441
20164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34602076124567477,95.15570934256056,0.0,49.60100438623775,25.15,28.628230616302186,51.4441
20165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6920415224913495,70.58823529411765,0.0,49.59396061435511,16.3626843899937,4.119598496812779,51.4441
20168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.57170139219927,7.7,31.168831168831172,51.4441
20169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.17647058823529,0.0,45.44903773019887,6.67809857658176,41.033949120469245,54.865696
20170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,45.457660405850085,7.6,23.026315789473685,54.865696
20171,0.0,0.0,0.390625,0.0,0.0,0.0,0.0,0.0,0.0,99.609375,0.0,45.46613092776311,7.64184409482968,31.513483571061705,54.865696
20172,0.0,0.0,2.5735294117647056,0.0,0.0,0.0,13.23529411764706,0.0,0.0,84.19117647058823,0.0,45.47444666539795,8.95,3.351955307262558,54.865696
20174,0.0,0.0,0.0,0.0,0.0,0.0,8.984375,0.0,0.0,91.015625,0.0,45.280779118095055,6.55,25.954198473282446,54.865696
20175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,45.28860078866924,10.7,43.0325982340943,6.6181197
20176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,45.296257181377634,8.01894856306688,22.41903947094611,6.6181197
20178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,45.10798102340353,6.86323749325626,41.71846735698196,6.6181197
20179,0.0,0.0,2.941176470588235,0.0,0.0,0.0,9.926470588235293,0.0,0.0,87.13235294117648,0.0,45.13399364440547,9.2,32.60869565217391,6.6181197
20180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,45.14003078552057,9.62319047247332,35.572302993120566,6.6181197
20182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,45.15152719213311,13.7740205215899,18.495303068915742,6.6181197
20183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,45.156981185496925,15.9733396930638,28.049795554768608,6.6181197
20184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,44.93756367310864,17.1,32.74853801169591,6.6181197
